Address,Area_Name,Collision_Count
SUNSET                       BL,Hollywood,2986
VENTURA                      BL,West Valley,2891
WESTERN                      AV,77th Street,2700
FLORENCE                     AV,77th Street,2651
SEPULVEDA                    BL,Van Nuys,2582
VAN NUYS                     BL,Van Nuys,2582
WESTERN                      AV,Olympic,2357
TOPANGA CANYON               BL,Topanga,2243
VERMONT                      AV,Olympic,2239
SHERMAN                      WY,West Valley,2238
LAUREL CANYON                BL,N Hollywood,2202
LA BREA                      AV,Wilshire,2156
ROSCOE                       BL,Mission,2118
NORDHOFF                     ST,Devonshire,2110
HOLLYWOOD                    BL,Hollywood,2073
SLAUSON                      AV,77th Street,2067
VICTORY                      BL,Van Nuys,1950
LINCOLN                      BL,Pacific,1944
FOOTHILL                     BL,Foothill,1923
CENTRAL                      AV,Newton,1915
LANKERSHIM                   BL,N Hollywood,1882
VENICE                       BL,Pacific,1857
RESEDA                       BL,West Valley,1844
BALBOA                       BL,Devonshire,1840
SEPULVEDA                    BL,Mission,1840
PICO                         BL,West LA,1839
SHERMAN                      WY,Van Nuys,1833
PACIFIC COAST                HY,Harbor,1831
VAN NUYS                     BL,Mission,1817
MANCHESTER                   AV,77th Street,1802
SHERMAN                      WY,N Hollywood,1795
CRENSHAW                     BL,Southwest,1789
SANTA MONICA                 BL,West LA,1775
ADAMS                        BL,Southwest,1763
MARTIN LUTHER KING JR        BL,Southwest,1761
SUNSET                       BL,West LA,1745
FIGUEROA                     ST,77th Street,1731
JEFFERSON                    BL,Southwest,1694
DEVONSHIRE                   ST,Devonshire,1661
IMPERIAL                     HY,Southeast,1653
VICTORY                      BL,West Valley,1623
VENTURA                      BL,Topanga,1601
PARTHENIA                    ST,Devonshire,1590
FAIRFAX                      AV,Wilshire,1590
VICTORY                      BL,N Hollywood,1578
RESEDA                       BL,Devonshire,1546
VANOWEN                      ST,Van Nuys,1539
VANOWEN                      ST,West Valley,1536
LA CIENEGA                   BL,Wilshire,1505
NORMANDIE                    AV,77th Street,1495
VERMONT                      AV,77th Street,1474
SANTA MONICA                 BL,Hollywood,1473
VENTURA                      BL,Van Nuys,1461
TAMPA                        AV,Devonshire,1456
GLENOAKS                     BL,Foothill,1408
SHERMAN                      WY,Topanga,1405
WOODMAN                      AV,Van Nuys,1401
WILSHIRE                     BL,West LA,1388
VINELAND                     AV,N Hollywood,1386
3RD                          ST,Wilshire,1367
SEPULVEDA                    BL,Pacific,1358
OLYMPIC                      BL,West LA,1353
FIGUEROA                     ST,Southeast,1353
WILSHIRE                     BL,Olympic,1343
PICO                         BL,Wilshire,1343
WESTERN                      AV,Southwest,1340
BROADWAY,Newton,1335
VENTURA                      BL,N Hollywood,1329
HIGHLAND                     AV,Hollywood,1312
GAFFEY                       ST,Harbor,1285
DE SOTO                      AV,Topanga,1267
SOTO                         ST,Hollenbeck,1265
BROADWAY,Central,1243
OLYMPIC                      BL,Olympic,1239
MELROSE                      AV,Wilshire,1235
SATICOY                      ST,West Valley,1231
CENTRAL                      AV,Southeast,1215
LAUREL CANYON                BL,Foothill,1213
VENICE                       BL,Wilshire,1209
VANOWEN                      ST,Topanga,1208
VICTORY                      BL,Topanga,1204
