Area_Name,Hour,Collision_Count
77th Street,0,1228
77th Street,1,1162
77th Street,2,1098
77th Street,3,796
77th Street,4,612
77th Street,5,718
77th Street,6,947
77th Street,7,1782
77th Street,8,1741
77th Street,9,1442
77th Street,10,1560
77th Street,11,1744
77th Street,12,2031
77th Street,13,2095
77th Street,14,2352
77th Street,15,2541
77th Street,16,2662
77th Street,17,2772
77th Street,18,2556
77th Street,19,2450
77th Street,20,2212
77th Street,21,2032
77th Street,22,1716
77th Street,23,1531
Central,0,561
Central,1,578
Central,2,624
Central,3,326
Central,4,280
Central,5,398
Central,6,630
Central,7,971
Central,8,1358
Central,9,1425
Central,10,1430
Central,11,1499
Central,12,1627
Central,13,1629
Central,14,1776
Central,15,1683
Central,16,1707
Central,17,1850
Central,18,1573
Central,19,1095
Central,20,826
Central,21,924
Central,22,900
Central,23,773
Devonshire,0,711
Devonshire,1,622
Devonshire,2,636
Devonshire,3,437
Devonshire,4,336
Devonshire,5,429
Devonshire,6,691
Devonshire,7,1495
Devonshire,8,1500
Devonshire,9,1172
Devonshire,10,1328
Devonshire,11,1452
Devonshire,12,1735
Devonshire,13,1760
Devonshire,14,1956
Devonshire,15,2177
Devonshire,16,1994
Devonshire,17,2247
Devonshire,18,1790
Devonshire,19,1489
Devonshire,20,1320
Devonshire,21,1124
Devonshire,22,1029
Devonshire,23,859
Foothill,0,688
Foothill,1,578
Foothill,2,516
Foothill,3,423
Foothill,4,308
Foothill,5,386
Foothill,6,555
Foothill,7,1027
Foothill,8,958
Foothill,9,795
Foothill,10,853
Foothill,11,932
Foothill,12,1055
Foothill,13,1095
Foothill,14,1164
Foothill,15,1258
Foothill,16,1322
Foothill,17,1369
Foothill,18,1318
Foothill,19,1263
Foothill,20,1299
Foothill,21,1212
Foothill,22,1025
Foothill,23,899
Harbor,0,562
Harbor,1,615
Harbor,2,671
Harbor,3,431
Harbor,4,343
Harbor,5,425
Harbor,6,519
Harbor,7,1094
Harbor,8,1079
Harbor,9,864
Harbor,10,994
Harbor,11,1090
Harbor,12,1242
Harbor,13,1168
Harbor,14,1364
Harbor,15,1429
Harbor,16,1389
Harbor,17,1562
Harbor,18,1354
Harbor,19,1166
Harbor,20,1145
Harbor,21,1072
Harbor,22,970
Harbor,23,825
Hollenbeck,0,595
Hollenbeck,1,548
Hollenbeck,2,558
Hollenbeck,3,490
Hollenbeck,4,313
